ben
[bana] PRON.personal.1p.sg,case.dat
[bana]yken PRON.personal.1p.sg,case.dat,converb
[bana]ykenki PRON.personal.1p.sg,case.dat,converb,<ki>
[bana]ysam PRON.personal.1p.sg,case.dat,perf.cnd.pres.1per.sg
[bana]ysan PRON.personal.1p.sg,case.dat,perf.cnd.pres.2per.sg
[bana]ysa PRON.personal.1p.sg,case.dat,perf.cnd.pres.3per.sg
[bana]ysak PRON.personal.1p.sg,case.dat,perf.cnd.pres.1per.pl
[bana]ysanız PRON.personal.1p.sg,case.dat,perf.cnd.pres.2per.pl
[bana]ysalar PRON.personal.1p.sg,case.dat,perf.cnd.pres.3per.pl
[bana]larsa PRON.personal.1p.sg,case.dat,perf.cnd.pres.3per.pl
[bana]yım PRON.personal.1p.sg,case.dat,perf.ind.pres.1per.sg
[bana]sın PRON.personal.1p.sg,case.dat,perf.ind.pres.2per.sg
[bana]yız PRON.personal.1p.sg,case.dat,perf.ind.pres.1per.pl
[bana]sınız PRON.personal.1p.sg,case.dat,perf.ind.pres.2per.pl
[bana]lar PRON.personal.1p.sg,case.dat,perf.ind.pres.3per.pl
[bana]larken PRON.personal.1p.sg,case.dat,perf.ind.pres.3per.pl,converb
[bana]ydım PRON.personal.1p.sg,case.dat,perf.ind.past.1per.sg
[bana]ydın PRON.personal.1p.sg,case.dat,perf.ind.past.2per.sg
[bana]ydı PRON.personal.1p.sg,case.dat,perf.ind.past.3per.sg
[bana]ydık PRON.personal.1p.sg,case.dat,perf.ind.past.1per.pl
[bana]ydınız PRON.personal.1p.sg,case.dat,perf.ind.past.2per.pl
[bana]ydılar PRON.personal.1p.sg,case.dat,perf.ind.past.3per.pl
[bana]lardı PRON.personal.1p.sg,case.dat,perf.ind.past.3per.pl
[bana]ymışım PRON.personal.1p.sg,case.dat,perf.nfh.ind.past.1per.sg
[bana]ymışsın PRON.personal.1p.sg,case.dat,perf.nfh.ind.past.2per.sg
[bana]ymış PRON.personal.1p.sg,case.dat,perf.nfh.ind.past.3per.sg
[bana]ymışız PRON.personal.1p.sg,case.dat,perf.nfh.ind.past.1per.pl
[bana]ymışsınız PRON.personal.1p.sg,case.dat,perf.nfh.ind.past.2per.pl
[bana]ymışlar PRON.personal.1p.sg,case.dat,perf.nfh.ind.past.3per.pl
[bana]larmış PRON.personal.1p.sg,case.dat,perf.nfh.ind.past.3per.pl
[bana]yımdır PRON.personal.1p.sg,case.dat,perf.gen.pres.1per.sg
[bana]sındır PRON.personal.1p.sg,case.dat,perf.gen.pres.2per.sg
[bana]dır PRON.personal.1p.sg,case.dat,perf.gen.pres.3per.sg
[bana]yızdır PRON.personal.1p.sg,case.dat,perf.gen.pres.1per.pl
[bana]sınızdır PRON.personal.1p.sg,case.dat,perf.gen.pres.2per.pl
[bana]dırlar PRON.personal.1p.sg,case.dat,perf.gen.pres.3per.pl
[bana]lardır PRON.personal.1p.sg,case.dat,perf.gen.pres.3per.pl
[ben]den PRON.personal.1p.sg,case.abl
[ben]denken PRON.personal.1p.sg,case.abl,converb
[ben]densem PRON.personal.1p.sg,case.abl,perf.cnd.pres.1per.sg
[ben]densen PRON.personal.1p.sg,case.abl,perf.cnd.pres.2per.sg
[ben]dense PRON.personal.1p.sg,case.abl,perf.cnd.pres.3per.sg
[ben]densek PRON.personal.1p.sg,case.abl,perf.cnd.pres.1per.pl
[ben]denseniz PRON.personal.1p.sg,case.abl,perf.cnd.pres.2per.pl
[ben]denseler PRON.personal.1p.sg,case.abl,perf.cnd.pres.3per.pl
[ben]denlerse PRON.personal.1p.sg,case.abl,perf.cnd.pres.3per.pl
[ben]denim PRON.personal.1p.sg,case.abl,perf.ind.pres.1per.sg
[ben]densin PRON.personal.1p.sg,case.abl,perf.ind.pres.2per.sg
[ben]deniz PRON.personal.1p.sg,case.abl,perf.ind.pres.1per.pl
[ben]densiniz PRON.personal.1p.sg,case.abl,perf.ind.pres.2per.pl
[ben]denler PRON.personal.1p.sg,case.abl,perf.ind.pres.3per.pl
[ben]denlerken PRON.personal.1p.sg,case.abl,perf.ind.pres.3per.pl,converb
[ben]dendim PRON.personal.1p.sg,case.abl,perf.ind.past.1per.sg
[ben]dendin PRON.personal.1p.sg,case.abl,perf.ind.past.2per.sg
[ben]dendi PRON.personal.1p.sg,case.abl,perf.ind.past.3per.sg
[ben]dendik PRON.personal.1p.sg,case.abl,perf.ind.past.1per.pl
[ben]dendiniz PRON.personal.1p.sg,case.abl,perf.ind.past.2per.pl
[ben]dendiler PRON.personal.1p.sg,case.abl,perf.ind.past.3per.pl
[ben]denlerdi PRON.personal.1p.sg,case.abl,perf.ind.past.3per.pl
[ben]denimdir PRON.personal.1p.sg,case.abl,perf.gen.pres.1per.sg
[ben]densindir PRON.personal.1p.sg,case.abl,perf.gen.pres.2per.sg
[ben]dendir PRON.personal.1p.sg,case.abl,perf.gen.pres.3per.sg
[ben]denizdir PRON.personal.1p.sg,case.abl,perf.gen.pres.1per.pl
[ben]densinizdir PRON.personal.1p.sg,case.abl,perf.gen.pres.2per.pl
[ben]dendirler PRON.personal.1p.sg,case.abl,perf.gen.pres.3per.pl
[ben]denlerdir PRON.personal.1p.sg,case.abl,perf.gen.pres.3per.pl
[ben]denmişim PRON.personal.1p.sg,case.abl,perf.nfh.ind.past.1per.sg
[ben]denmişsin PRON.personal.1p.sg,case.abl,perf.nfh.ind.past.2per.sg
[ben]denmiş PRON.personal.1p.sg,case.abl,perf.nfh.ind.past.3per.sg
[ben]denmişiz PRON.personal.1p.sg,case.abl,perf.nfh.ind.past.1per.pl
[ben]denmişsiniz PRON.personal.1p.sg,case.abl,perf.nfh.ind.past.2per.pl
[ben]denmişler PRON.personal.1p.sg,case.abl,perf.nfh.ind.past.3per.pl
[ben]denlermiş PRON.personal.1p.sg,case.abl,perf.nfh.ind.past.3per.pl
[ben]de PRON.personal.1p.sg,case.loc
[ben]deyken PRON.personal.1p.sg,case.loc,converb
[ben]deykenki PRON.personal.1p.sg,case.loc,converb,<ki>
[ben]deyimdir PRON.personal.1p.sg,case.loc,perf.gen.pres.1per.sg
[ben]desindir PRON.personal.1p.sg,case.loc,perf.gen.pres.2per.sg
[ben]dedir PRON.personal.1p.sg,case.loc,perf.gen.pres.3per.sg
[ben]deyizdir PRON.personal.1p.sg,case.loc,perf.gen.pres.1per.pl
[ben]desinizdir PRON.personal.1p.sg,case.loc,perf.gen.pres.2per.pl
[ben]dedirler PRON.personal.1p.sg,case.loc,perf.gen.pres.3per.pl
[ben]delerdir PRON.personal.1p.sg,case.loc,perf.gen.pres.3per.pl
[ben]deydim PRON.personal.1p.sg,case.loc,perf.ind.past.1per.sg
[ben]deydin PRON.personal.1p.sg,case.loc,perf.ind.past.2per.sg
[ben]deydi PRON.personal.1p.sg,case.loc,perf.ind.past.3per.sg
[ben]deydik PRON.personal.1p.sg,case.loc,perf.ind.past.1per.pl
[ben]deydiniz PRON.personal.1p.sg,case.loc,perf.ind.past.2per.pl
[ben]deydiler PRON.personal.1p.sg,case.loc,perf.ind.past.3per.pl
[ben]deyim PRON.personal.1p.sg,case.loc,perf.ind.pres.1per.sg
[ben]desin PRON.personal.1p.sg,case.loc,perf.ind.pres.2per.sg
[ben]deyiz PRON.personal.1p.sg,case.loc,perf.ind.pres.1per.pl
[ben]deler PRON.personal.1p.sg,case.loc,perf.ind.pres.3per.pl
[ben]delerdi PRON.personal.1p.sg,case.loc,perf.ind.past.3per.pl
[ben]delermiş PRON.personal.1p.sg,case.loc,perf.nfh.ind.past.3per.pl
[ben]delerken PRON.personal.1p.sg,case.loc,perf.ind.pres.3per.pl,converb
[ben]deymiş PRON.personal.1p.sg,case.loc,perf.nfh.ind.past.3per.sg
[ben]deymişim PRON.personal.1p.sg,case.loc,perf.nfh.ind.past.1per.sg
[ben]deymişiz PRON.personal.1p.sg,case.loc,perf.nfh.ind.past.1per.pl
[ben]deymişler PRON.personal.1p.sg,case.loc,perf.nfh.ind.past.3per.pl
[ben]deymişsin PRON.personal.1p.sg,case.loc,perf.nfh.ind.past.2per.sg
[ben]deymişsiniz PRON.personal.1p.sg,case.loc,perf.nfh.ind.past.2per.pl
[ben]deyse PRON.personal.1p.sg,case.loc,perf.cnd.pres.3per.sg
[ben]deysek PRON.personal.1p.sg,case.loc,perf.cnd.pres.1per.pl
[ben]deysem PRON.personal.1p.sg,case.loc,perf.cnd.pres.1per.sg
[ben]deysen PRON.personal.1p.sg,case.loc,perf.cnd.pres.2per.sg
[ben]deyseniz PRON.personal.1p.sg,case.loc,perf.cnd.pres.2per.pl
[ben]delerse PRON.personal.1p.sg,case.loc,perf.cnd.pres.3per.pl
[ben]deyseler PRON.personal.1p.sg,case.loc,perf.cnd.pres.3per.pl
[ben]i PRON.personal.1p.sg,case.acc
[ben]iyken PRON.personal.1p.sg,case.acc,converb
[ben]iykenki PRON.personal.1p.sg,case.acc,converb,<ki>
[ben]iysem PRON.personal.1p.sg,case.acc,perf.cnd.pres.1per.sg
[ben]iysen PRON.personal.1p.sg,case.acc,perf.cnd.pres.2per.sg
[ben]iyse PRON.personal.1p.sg,case.acc,perf.cnd.pres.3per.sg
[ben]iysek PRON.personal.1p.sg,case.acc,perf.cnd.pres.1per.pl
[ben]iyseniz PRON.personal.1p.sg,case.acc,perf.cnd.pres.2per.pl
[ben]iyseler PRON.personal.1p.sg,case.acc,perf.cnd.pres.3per.pl
[ben]iyim PRON.personal.1p.sg,case.acc,perf.ind.pres.1per.sg
[ben]isin PRON.personal.1p.sg,case.acc,perf.ind.pres.2per.sg
[ben]iyiz PRON.personal.1p.sg,case.acc,perf.ind.pres.1per.pl
[ben]isiniz PRON.personal.1p.sg,case.acc,perf.ind.pres.2per.pl
[ben]iler PRON.personal.1p.sg,case.acc,perf.ind.pres.3per.pl
[ben]iydim PRON.personal.1p.sg,case.acc,perf.ind.past.1per.sg
[ben]iydin PRON.personal.1p.sg,case.acc,perf.ind.past.2per.sg
[ben]iydi PRON.personal.1p.sg,case.acc,perf.ind.past.3per.sg
[ben]iydik PRON.personal.1p.sg,case.acc,perf.ind.past.1per.pl
[ben]iydiniz PRON.personal.1p.sg,case.acc,perf.ind.past.2per.pl
[ben]iydiler PRON.personal.1p.sg,case.acc,perf.ind.past.3per.pl
[ben]ilerdi PRON.personal.1p.sg,case.acc,perf.ind.past.3per.pl
[ben]iymişim PRON.personal.1p.sg,case.acc,perf.nfh.ind.past.1per.sg
[ben]iymişsin PRON.personal.1p.sg,case.acc,perf.nfh.ind.past.2per.sg
[ben]iymiş PRON.personal.1p.sg,case.acc,perf.nfh.ind.past.3per.sg
[ben]iymişiz PRON.personal.1p.sg,case.acc,perf.nfh.ind.past.1per.pl
[ben]iymişsiniz PRON.personal.1p.sg,case.acc,perf.nfh.ind.past.2per.pl
[ben]iymişler PRON.personal.1p.sg,case.acc,perf.nfh.ind.past.3per.pl
[ben]ilermiş PRON.personal.1p.sg,case.acc,perf.nfh.ind.past.3per.pl
[ben]iyimdir PRON.personal.1p.sg,case.acc,perf.gen.pres.1per.sg
[ben]isindir PRON.personal.1p.sg,case.acc,perf.gen.pres.2per.sg
[ben]idir PRON.personal.1p.sg,case.acc,perf.gen.pres.3per.sg
[ben]iyizdir PRON.personal.1p.sg,case.acc,perf.gen.pres.1per.pl
[ben]isinizdir PRON.personal.1p.sg,case.acc,perf.gen.pres.2per.pl
[ben]idirler PRON.personal.1p.sg,case.acc,perf.gen.pres.3per.pl
[ben]ilerdir PRON.personal.1p.sg,case.acc,perf.gen.pres.3per.pl
[ben]le PRON.personal.1p.sg,case.instr
[ben]leyken PRON.personal.1p.sg,case.instr,converb
[ben]leykenki PRON.personal.1p.sg,case.instr,converb,<ki>
[ben]leysem PRON.personal.1p.sg,case.instr,perf.cnd.pres.1per.sg
[ben]leysen PRON.personal.1p.sg,case.instr,perf.cnd.pres.2per.sg
[ben]leyse PRON.personal.1p.sg,case.instr,perf.cnd.pres.3per.sg
[ben]leysek PRON.personal.1p.sg,case.instr,perf.cnd.pres.1per.pl
[ben]leyseniz PRON.personal.1p.sg,case.instr,perf.cnd.pres.2per.pl
[ben]leyseler PRON.personal.1p.sg,case.instr,perf.cnd.pres.3per.pl
[ben]leyim PRON.personal.1p.sg,case.instr,perf.ind.pres.1per.sg
[ben]lesin PRON.personal.1p.sg,case.instr,perf.ind.pres.2per.sg
[ben]leyiz PRON.personal.1p.sg,case.instr,perf.ind.pres.1per.pl
[ben]lesiniz PRON.personal.1p.sg,case.instr,perf.ind.pres.2per.pl
[ben]leler PRON.personal.1p.sg,case.instr,perf.ind.pres.3per.pl
[ben]leydim PRON.personal.1p.sg,case.instr,perf.ind.past.1per.sg
[ben]leydin PRON.personal.1p.sg,case.instr,perf.ind.past.2per.sg
[ben]leydi PRON.personal.1p.sg,case.instr,perf.ind.past.3per.sg
[ben]leydik PRON.personal.1p.sg,case.instr,perf.ind.past.1per.pl
[ben]leydiniz PRON.personal.1p.sg,case.instr,perf.ind.past.2per.pl
[ben]leydiler PRON.personal.1p.sg,case.instr,perf.ind.past.3per.pl
[ben]lelerdi PRON.personal.1p.sg,case.instr,perf.ind.past.3per.pl
[ben]leymişim PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.1per.sg
[ben]leymişsin PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.2per.sg
[ben]leymiş PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.3per.sg
[ben]leymişiz PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.1per.pl
[ben]leymişsiniz PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.2per.pl
[ben]leymişler PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.3per.pl
[ben]leyimdir PRON.personal.1p.sg,case.instr,perf.gen.pres.1per.sg
[ben]lesindir PRON.personal.1p.sg,case.instr,perf.gen.pres.2per.sg
[ben]ledir PRON.personal.1p.sg,case.instr,perf.gen.pres.3per.sg
[ben]leyizdir PRON.personal.1p.sg,case.instr,perf.gen.pres.1per.pl
