dair	dair(POSTP.invar)
dek	dek(POSTP.invar)
diye	diye(POSTP.invar)
ila	ila(POSTP.invar)
ile	ile(POSTP.invar)
tek	tek(POSTP.invar)
karşın	karşın(POSTP.invar)
suretiyle	suretiyle(POSTP.invar)
ait	aitPOSTP
aitim	ait(POSTP),predic.pres.1p.sg
aitiz	ait(POSTP),predic.pres.1p.pl
aitlermiş	ait(POSTP),predic.evid.3p.pl
aitlerse	ait(POSTP),predic.cond.3p.pl
aitlerdi	ait(POSTP),predic.perf.3p.pl
aitlerdir	ait(POSTP),predic.pres.3p.pl
aitmiş	ait(POSTP),predic.evid.3p.sg
aitmişim	ait(POSTP),predic.evid.1p.sg
aitmişiz	ait(POSTP),predic.evid.1p.pl
aitmişler	ait(POSTP),predic.evid.3p.pl
aitmişsin	ait(POSTP),predic.evid.2p.sg
aitmişsiniz	ait(POSTP),predic.evid.2p.pl
aitken	ait(POSTP),case.nom,converb
aitse	ait(POSTP),predic.cond.3p.sg
aitsek	ait(POSTP),predic.cond.1p.pl
aitseler	ait(POSTP),predic.cond.3p.pl
aitsem	ait(POSTP),predic.cond.1p.sg
aitsen	ait(POSTP),predic.cond.2p.sg
aitseniz	ait(POSTP),predic.cond.2p.pl
aitsin	ait(POSTP),predic.pres.2p.sg
aitsiniz	ait(POSTP),predic.pres.2p.pl
aitti	ait(POSTP),predic.perf.3p.sg
aittik	ait(POSTP),predic.perf.1p.pl
aittiler	ait(POSTP),predic.perf.3p.pl
aittim	ait(POSTP),predic.perf.1p.sg
aittin	ait(POSTP),predic.perf.2p.sg
aittiniz	ait(POSTP),predic.perf.2p.pl
aittir	ait(POSTP),predic.pres.3p.sg
aittirler	ait(POSTP),predic.pres.3p.pl
göre	görePOSTP
göredir	göre(POSTP),predic.pres.3p.sg
göredirler	göre(POSTP),predic.pres.3p.pl
görelerdi	göre(POSTP),predic.perf.3p.pl
görelerdir	göre(POSTP),predic.pres.3p.pl
görelermiş	göre(POSTP),predic.evid.3p.pl
görelerse	göre(POSTP),predic.cond.3p.pl
göresin	göre(POSTP),predic.pres.2p.sg
göresiniz	göre(POSTP),predic.pres.2p.pl
göreydi	göre(POSTP),predic.perf.3p.sg
göreydik	göre(POSTP),predic.perf.1p.pl
göreydiler	göre(POSTP),predic.perf.3p.pl
göreydim	göre(POSTP),predic.perf.1p.sg
göreydin	göre(POSTP),predic.perf.2p.sg
göreydiniz	göre(POSTP),predic.perf.2p.pl
